Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID
108.23,5.2,8.16,um,Surface,Position,1,1000000000,0
289.17,60.75,7.04,um,Surface,Position,1,1000000001,1
338.93,133.49,9.09,um,Surface,Position,1,1000000002,2
179.57,135.43,6.33,um,Surface,Position,1,1000000003,3
259.11,215.88,13.44,um,Surface,Position,1,1000000004,4
328.03,244.35,10.5,um,Surface,Position,1,1000000005,5
77.56,267.14,7.19,um,Surface,Position,1,1000000006,6
97.13,298.08,14.36,um,Surface,Position,1,1000000007,7
264.84,309.42,4.77,um,Surface,Position,1,1000000008,8
319.51,330.3,8.54,um,Surface,Position,1,1000000009,9
80.9,312.7,4.74,um,Surface,Position,1,1000000010,10
158.86,326.11,2.97,um,Surface,Position,1,1000000011,11
374.77,356.54,5.68,um,Surface,Position,1,1000000012,12
258.83,379.5,18.92,um,Surface,Position,1,1000000013,13
244.02,10.62,16.04,um,Surface,Position,1,1000000014,14
78.41,126.32,15.15,um,Surface,Position,1,1000000015,15
316.3,94.99,21.93,um,Surface,Position,1,1000000016,16
247.62,133.46,22.39,um,Surface,Position,1,1000000017,17
188,52.52,27.82,um,Surface,Position,1,1000000018,18
23.68,210.31,27.6,um,Surface,Position,1,1000000019,19
267.97,131.94,28.53,um,Surface,Position,1,1000000020,20
6.36,175.98,26.02,um,Surface,Position,1,1000000021,21
356.31,244.95,41.02,um,Surface,Position,1,1000000022,22
2.69,49.45,32.89,um,Surface,Position,1,1000000023,23
118.59,378.17,41.36,um,Surface,Position,1,1000000024,24
324.42,177.37,37.68,um,Surface,Position,1,1000000025,25
65.71,185.22,44.01,um,Surface,Position,1,1000000026,26
243.4,312.86,49.32,um,Surface,Position,1,1000000027,27
212.13,336.35,39.98,um,Surface,Position,1,1000000028,28
240.47,349,46.7,um,Surface,Position,1,1000000029,29
205.81,296.33,54.01,um,Surface,Position,1,1000000030,30
8.86,174.41,51.3,um,Surface,Position,1,1000000031,31
144.88,96.87,59.75,um,Surface,Position,1,1000000032,32
284.46,210.62,60.28,um,Surface,Position,1,1000000033,33
351.79,45.83,60.15,um,Surface,Position,1,1000000034,34
154.58,200.18,60.2,um,Surface,Position,1,1000000035,35
141.82,210.66,58.38,um,Surface,Position,1,1000000036,36
109.46,6.22,7.99,um,Surface,Position,2,1000000000,37
288.45,61.66,7.97,um,Surface,Position,2,1000000001,38
339,130.72,9.06,um,Surface,Position,2,1000000002,39
179.92,135.75,6.65,um,Surface,Position,2,1000000003,40
259.36,216.03,12.91,um,Surface,Position,2,1000000004,41
328.23,245.72,11.32,um,Surface,Position,2,1000000005,42
77.59,266.92,7.16,um,Surface,Position,2,1000000006,43
96.1,298.04,15.76,um,Surface,Position,2,1000000007,45
266.31,309.27,4.93,um,Surface,Position,2,1000000008,46
321.54,325.64,9.9,um,Surface,Position,2,1000000009,48
82.32,311.34,3.9,um,Surface,Position,2,1000000010,47
158.83,327.27,3.82,um,Surface,Position,2,1000000011,49
