Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID
364.74,14.85,8.07,um,Surface,Position,1,1000000000,0
245.34,21.06,9.76,um,Surface,Position,1,1000000001,1
85.22,87.86,3.76,um,Surface,Position,1,1000000002,2
377.35,117.88,6.73,um,Surface,Position,1,1000000003,3
365.21,257.66,5.76,um,Surface,Position,1,1000000004,4
23.54,275.62,8.98,um,Surface,Position,1,1000000005,5
279.04,277.78,4,um,Surface,Position,1,1000000006,6
61.52,287.24,7.17,um,Surface,Position,1,1000000007,7
281.59,347.45,2.11,um,Surface,Position,1,1000000008,8
33.53,384.78,2.7,um,Surface,Position,1,1000000009,9
58.33,177.8,12.33,um,Surface,Position,1,1000000010,10
127.15,20.55,9.64,um,Surface,Position,1,1000000011,11
55.58,37.71,13.01,um,Surface,Position,1,1000000012,12
252.71,75.25,13.74,um,Surface,Position,1,1000000013,13
326.97,96.72,19.94,um,Surface,Position,1,1000000014,14
171.93,64.81,17.9,um,Surface,Position,1,1000000015,15
145.4,85.48,19.93,um,Surface,Position,1,1000000016,16
106.84,190.02,12.01,um,Surface,Position,1,1000000017,17
339.27,197.79,20.71,um,Surface,Position,1,1000000018,18
138.1,346.85,25.18,um,Surface,Position,1,1000000019,19
357.13,79.28,26.98,um,Surface,Position,1,1000000020,20
285.19,355.96,21.62,um,Surface,Position,1,1000000021,21
104.54,84.18,25.31,um,Surface,Position,1,1000000022,22
229.69,230.63,28.4,um,Surface,Position,1,1000000023,23
247.99,238.27,21.02,um,Surface,Position,1,1000000024,24
214.18,360.38,26.62,um,Surface,Position,1,1000000025,25
243.34,146.58,32.89,um,Surface,Position,1,1000000026,26
85.51,333.55,24.75,um,Surface,Position,1,1000000027,27
358.96,222.8,27.15,um,Surface,Position,1,1000000028,28
95.31,10.52,34.45,um,Surface,Position,1,1000000029,29
3.35,260.5,32.74,um,Surface,Position,1,1000000030,30
226.13,278.66,31.62,um,Surface,Position,1,1000000031,31
310.63,198.14,43.35,um,Surface,Position,1,1000000032,32
18.8,229.85,39.85,um,Surface,Position,1,1000000033,33
135.72,271.18,44.59,um,Surface,Position,1,1000000034,34
162.04,189.4,48.54,um,Surface,Position,1,1000000035,35
374.68,81.25,49.67,um,Surface,Position,1,1000000036,36
270.68,86.09,47.53,um,Surface,Position,1,1000000037,37
122.64,50.59,52.11,um,Surface,Position,1,1000000038,38
178.68,234.65,53.34,um,Surface,Position,1,1000000039,39
99.2,187.28,57.12,um,Surface,Position,1,1000000040,40
26.53,191.82,57.2,um,Surface,Position,1,1000000041,41
58.45,322.69,59.02,um,Surface,Position,1,1000000042,42
366.27,13.67,9.3,um,Surface,Position,2,1000000000,43
246.61,21.05,9.67,um,Surface,Position,2,1000000001,44
84.46,88.02,4.69,um,Surface,Position,2,1000000002,46
375.46,119.19,7.07,um,Surface,Position,2,1000000003,47
364.57,257.35,6.11,um,Surface,Position,2,1000000004,48
278.39,278.36,4.32,um,Surface,Position,2,1000000006,50
64.56,284.31,7.28,um,Surface,Position,2,1000000007,49
282.08,345.54,2.61,um,Surface,Position,2,1000000008,51
33.51,384.67,2.64,um,Surface,Position,2,1000000009,52
56.83,175.36,13.43,um,Surface,Position,2,1000000010,55
128.05,21.48,9.8,um,Surface,Position,2,1000000011,45
55.13,38.04,13.51,um,Surface,Position,2,1000000012,53
253.09,74.57,14.15,um,Surface,Position,2,1000000013,57
325.64,96.6,17.82,um,Surface,Position,2,1000000014,54
171.79,64.98,17.42,um,Surface,Position,2,1000000015,56
145.66,86.82,19.6,um,Surface,Position,2,1000000016,58
110.99,186.15,12.57,um,Surface,Position,2,1000000017,59
338.21,198.44,21.53,um,Surface,Position,2,1000000018,61
138.82,351.23,20.53,um,Surface,Position,2,1000000019,60
358.94,79.25,28.1,um,Surface,Position,2,1000000020,67
288.91,359.63,21.22,um,Surface,Position,2,1000000021,64
104.75,83.68,25.5,um,Surface,Position,2,1000000022,65
228.45,229.18,26.7,um,Surface,Position,2,1000000023,62
250.6,239.42,23.27,um,Surface,Position,2,1000000024,68
215.01,360.68,26.15,um,Surface,Position,2,1000000025,66
244.34,145.96,33.21,um,Surface,Position,2,1000000026,69
88.64,333.31,22.82,um,Surface,Position,2,1000000027,63
361.26,222.06,27.61,um,Surface,Position,2,1000000028,70
95.56,9.82,34.4,um,Surface,Position,2,1000000029,71
3.31,259.32,34.2,um,Surface,Position,2,1000000030,73
227.95,279.78,32.16,um,Surface,Position,2,1000000031,72
312.19,198.21,43.64,um,Surface,Position,2,1000000032,74
19.55,228.56,39.51,um,Surface,Position,2,1000000033,75
135.6,270.5,44.73,um,Surface,Position,2,1000000034,76
164.17,189.12,46.47,um,Surface,Position,2,1000000035,77
376.3,80.46,49.27,um,Surface,Position,2,1000000036,79
269.8,91.33,45.92,um,Surface,Position,2,1000000037,13063
120.38,51.23,50.65,um,Surface,Position,2,1000000038,80
176.81,234.19,53.1,um,Surface,Position,2,1000000039,81
98.76,186.04,57.85,um,Surface,Position,2,1000000040,83
29.25,191.31,56.52,um,Surface,Position,2,1000000041,82
59.57,320.55,57.86,um,Surface,Position,2,1000000042,84
314.17,273.55,41.29,um,Surface,Position,2,1000000043,78
365.76,12.05,10.67,um,Surface,Position,3,1000000000,86
247.98,21.98,9.41,um,Surface,Position,3,1000000001,85
83.69,87.95,4.46,um,Surface,Position,3,1000000002,88
374.09,120.55,7.93,um,Surface,Position,3,1000000003,90
363.8,257.42,6.31,um,Surface,Position,3,1000000004,92
16.03,271.77,6.58,um,Surface,Position,3,1000000005,93
276.67,278.9,4.37,um,Surface,Position,3,1000000006,95
66.55,282.7,7.4,um,Surface,Position,3,1000000007,94
283.74,344.45,3.15,um,Surface,Position,3,1000000008,96
